"","X","Y","count","label"
"1",5,895,4,"r2"
"2",15,895,9,"r2"
"3",25,895,6,"r2"
"4",35,895,10,"r2"
"5",45,895,2,"r2"
"6",55,895,7,"r2"
"7",65,895,6,"r2"
"8",75,895,6,"r2"
"9",85,895,9,"r2"
"10",95,895,2,"r2"
"11",105,895,6,"r2"
"12",115,895,7,"r2"
"13",125,895,3,"r2"
"14",135,895,1,"r2"
"15",145,895,8,"r2"
"16",155,895,3,"r2"
"17",165,895,1,"r2"
"18",175,895,5,"r2"
"19",185,895,8,"r2"
"20",195,895,1,"r2"
"21",205,895,4,"r2"
"22",215,895,5,"r2"
"23",225,895,3,"r2"
"24",235,895,8,"r2"
"25",245,895,4,"r2"
"26",255,895,3,"r2"
"27",265,895,3,"r2"
"28",275,895,9,"r2"
"29",285,895,3,"r2"
"30",295,895,9,"r2"
"31",305,895,8,"r2"
"32",315,895,9,"r2"
"33",325,895,2,"r2"
"34",335,895,4,"r2"
"35",345,895,5,"r2"
"36",355,895,9,"r2"
"37",365,895,5,"r2"
"38",375,895,5,"r2"
"39",385,895,4,"r2"
"40",395,895,9,"r2"
"41",405,895,9,"r2"
"42",415,895,3,"r2"
"43",425,895,9,"r2"
"44",435,895,9,"r2"
"45",445,895,2,"r2"
"46",455,895,6,"r2"
"47",465,895,2,"r2"
"48",475,895,2,"r2"
"49",485,895,5,"r2"
"50",495,895,1,"r2"
"51",505,895,6,"r2"
"52",515,895,3,"r2"
"53",525,895,7,"r2"
"54",535,895,3,"r2"
"55",545,895,2,"r2"
"56",555,895,3,"r2"
"57",565,895,10,"r2"
"58",575,895,6,"r2"
"59",585,895,9,"r2"
"60",595,895,8,"r2"
"61",605,895,8,"r2"
"62",615,895,9,"r2"
"63",625,895,6,"r2"
"64",635,895,10,"r2"
"65",645,895,3,"r2"
"66",655,895,3,"r2"
"67",665,895,3,"r2"
"68",675,895,8,"r2"
"69",685,895,8,"r2"
"70",695,895,4,"r2"
"71",705,895,2,"r2"
"72",715,895,6,"r2"
"73",725,895,8,"r2"
"74",735,895,5,"r2"
"75",745,895,10,"r2"
"76",755,895,5,"r2"
"77",765,895,5,"r2"
"78",775,895,2,"r2"
"79",785,895,4,"r2"
"80",795,895,1,"r2"
"81",805,895,8,"r2"
"82",815,895,9,"r2"
"83",825,895,3,"r2"
"84",835,895,7,"r2"
"85",845,895,5,"r2"
"86",855,895,4,"r2"
"87",865,895,3,"r2"
"88",875,895,8,"r2"
"89",885,895,1,"r2"
"90",895,895,10,"r2"
"91",5,885,3,"r2"
"92",15,885,8,"r2"
"93",25,885,2,"r2"
"94",35,885,3,"r2"
"95",45,885,9,"r2"
"96",55,885,3,"r2"
"97",65,885,5,"r2"
"98",75,885,5,"r2"
"99",85,885,1,"r2"
"100",95,885,3,"r2"
"101",105,885,10,"r2"
"102",115,885,1,"r2"
"103",125,885,7,"r2"
"104",135,885,9,"r2"
"105",145,885,7,"r2"
"106",155,885,5,"r2"
"107",165,885,9,"r2"
"108",175,885,4,"r2"
"109",185,885,5,"r2"
"110",195,885,5,"r2"
"111",205,885,8,"r2"
"112",215,885,3,"r2"
"113",225,885,8,"r2"
"114",235,885,9,"r2"
"115",245,885,5,"r2"
"116",255,885,7,"r2"
"117",265,885,3,"r2"
"118",275,885,7,"r2"
"119",285,885,1,"r2"
"120",295,885,9,"r2"
"121",305,885,7,"r2"
"122",315,885,10,"r2"
"123",325,885,4,"r2"
"124",335,885,4,"r2"
"125",345,885,4,"r2"
"126",355,885,2,"r2"
"127",365,885,7,"r2"
"128",375,885,3,"r2"
"129",385,885,6,"r2"
"130",395,885,6,"r2"
"131",405,885,9,"r2"
"132",415,885,2,"r2"
"133",425,885,10,"r2"
"134",435,885,4,"r2"
"135",445,885,8,"r2"
"136",455,885,2,"r2"
"137",465,885,9,"r2"
"138",475,885,6,"r2"
"139",485,885,9,"r2"
"140",495,885,10,"r2"
"141",505,885,3,"r2"
"142",515,885,7,"r2"
"143",525,885,6,"r2"
"144",535,885,1,"r2"
"145",545,885,5,"r2"
"146",555,885,4,"r2"
"147",565,885,2,"r2"
"148",575,885,10,"r2"
"149",585,885,9,"r2"
"150",595,885,5,"r2"
"151",605,885,1,"r2"
"152",615,885,3,"r2"
"153",625,885,4,"r2"
"154",635,885,1,"r2"
"155",645,885,1,"r2"
"156",655,885,7,"r2"
"157",665,885,9,"r2"
"158",675,885,3,"r2"
"159",685,885,2,"r2"
"160",695,885,5,"r2"
"161",705,885,8,"r2"
"162",715,885,10,"r2"
"163",725,885,10,"r2"
"164",735,885,9,"r2"
"165",745,885,1,"r2"
"166",755,885,3,"r2"
"167",765,885,2,"r2"
"168",775,885,8,"r2"
"169",785,885,6,"r2"
"170",795,885,9,"r2"
"171",805,885,3,"r2"
"172",815,885,10,"r2"
"173",825,885,3,"r2"
"174",835,885,4,"r2"
"175",845,885,5,"r2"
"176",855,885,5,"r2"
"177",865,885,4,"r2"
"178",875,885,10,"r2"
"179",885,885,10,"r2"
"180",895,885,6,"r2"
"181",5,875,5,"r2"
"182",15,875,10,"r2"
"183",25,875,4,"r2"
"184",35,875,10,"r2"
"185",45,875,9,"r2"
"186",55,875,1,"r2"
"187",65,875,6,"r2"
"188",75,875,6,"r2"
"189",85,875,9,"r2"
"190",95,875,9,"r2"
"191",105,875,10,"r2"
"192",115,875,7,"r2"
"193",125,875,7,"r2"
"194",135,875,1,"r2"
"195",145,875,7,"r2"
"196",155,875,3,"r2"
"197",165,875,10,"r2"
"198",175,875,1,"r2"
"199",185,875,3,"r2"
"200",195,875,1,"r2"
"201",205,875,5,"r2"
"202",215,875,2,"r2"
"203",225,875,4,"r2"
"204",235,875,1,"r2"
"205",245,875,5,"r2"
"206",255,875,5,"r2"
"207",265,875,5,"r2"
"208",275,875,5,"r2"
"209",285,875,2,"r2"
"210",295,875,10,"r2"
"211",305,875,7,"r2"
"212",315,875,2,"r2"
"213",325,875,10,"r2"
"214",335,875,5,"r2"
"215",345,875,4,"r2"
"216",355,875,9,"r2"
"217",365,875,9,"r2"
"218",375,875,1,"r2"
"219",385,875,1,"r2"
"220",395,875,4,"r2"
"221",405,875,8,"r2"
"222",415,875,1,"r2"
"223",425,875,7,"r2"
"224",435,875,3,"r2"
"225",445,875,2,"r2"
"226",455,875,10,"r2"
"227",465,875,5,"r2"
"228",475,875,3,"r2"
"229",485,875,7,"r2"
"230",495,875,9,"r2"
"231",505,875,6,"r2"
"232",515,875,7,"r2"
"233",525,875,5,"r2"
"234",535,875,8,"r2"
"235",545,875,10,"r2"
"236",555,875,2,"r2"
"237",565,875,7,"r2"
"238",575,875,7,"r2"
"239",585,875,9,"r2"
"240",595,875,1,"r2"
"241",605,875,1,"r2"
"242",615,875,6,"r2"
"243",625,875,6,"r2"
"244",635,875,8,"r2"
"245",645,875,9,"r2"
"246",655,875,5,"r2"
"247",665,875,3,"r2"
"248",675,875,10,"r2"
"249",685,875,8,"r2"
"250",695,875,8,"r2"
"251",705,875,1,"r2"
"252",715,875,3,"r2"
"253",725,875,5,"r2"
"254",735,875,9,"r2"
"255",745,875,5,"r2"
"256",755,875,5,"r2"
"257",765,875,2,"r2"
"258",775,875,8,"r2"
"259",785,875,10,"r2"
"260",795,875,5,"r2"
"261",805,875,2,"r2"
"262",815,875,6,"r2"
"263",825,875,4,"r2"
"264",835,875,8,"r2"
"265",845,875,10,"r2"
"266",855,875,3,"r2"
"267",865,875,9,"r2"
"268",875,875,5,"r2"
"269",885,875,9,"r2"
"270",895,875,9,"r2"
"271",5,865,2,"r2"
"272",15,865,9,"r2"
"273",25,865,5,"r2"
"274",35,865,7,"r2"
"275",45,865,5,"r2"
"276",55,865,10,"r2"
"277",65,865,10,"r2"
"278",75,865,10,"r2"
"279",85,865,9,"r2"
"280",95,865,8,"r2"
"281",105,865,8,"r2"
"282",115,865,6,"r2"
"283",125,865,2,"r2"
"284",135,865,8,"r2"
"285",145,865,3,"r2"
"286",155,865,4,"r2"
"287",165,865,5,"r2"
"288",175,865,5,"r2"
"289",185,865,10,"r2"
"290",195,865,5,"r2"
"291",205,865,2,"r2"
"292",215,865,1,"r2"
"293",225,865,6,"r2"
"294",235,865,5,"r2"
"295",245,865,5,"r2"
"296",255,865,10,"r2"
"297",265,865,8,"r2"
