"","X","Y","count","label"
"1",5,895,5,"r3"
"2",15,895,1,"r3"
"3",25,895,5,"r3"
"4",35,895,8,"r3"
"5",45,895,3,"r3"
"6",55,895,4,"r3"
"7",65,895,4,"r3"
"8",75,895,8,"r3"
"9",85,895,1,"r3"
"10",95,895,1,"r3"
"11",105,895,6,"r3"
"12",115,895,10,"r3"
"13",125,895,6,"r3"
"14",135,895,1,"r3"
"15",145,895,10,"r3"
"16",155,895,4,"r3"
"17",165,895,3,"r3"
"18",175,895,4,"r3"
"19",185,895,10,"r3"
"20",195,895,2,"r3"
"21",205,895,8,"r3"
"22",215,895,7,"r3"
"23",225,895,5,"r3"
"24",235,895,6,"r3"
"25",245,895,4,"r3"
"26",255,895,4,"r3"
"27",265,895,4,"r3"
"28",275,895,9,"r3"
"29",285,895,2,"r3"
"30",295,895,6,"r3"
"31",305,895,9,"r3"
"32",315,895,7,"r3"
"33",325,895,10,"r3"
"34",335,895,9,"r3"
"35",345,895,5,"r3"
"36",355,895,9,"r3"
"37",365,895,1,"r3"
"38",375,895,2,"r3"
"39",385,895,1,"r3"
"40",395,895,1,"r3"
"41",405,895,2,"r3"
"42",415,895,4,"r3"
"43",425,895,8,"r3"
"44",435,895,1,"r3"
"45",445,895,2,"r3"
"46",455,895,10,"r3"
"47",465,895,8,"r3"
"48",475,895,8,"r3"
"49",485,895,1,"r3"
"50",495,895,2,"r3"
"51",505,895,4,"r3"
"52",515,895,1,"r3"
"53",525,895,1,"r3"
"54",535,895,3,"r3"
"55",545,895,2,"r3"
"56",555,895,6,"r3"
"57",565,895,2,"r3"
"58",575,895,5,"r3"
"59",585,895,3,"r3"
"60",595,895,8,"r3"
"61",605,895,1,"r3"
"62",615,895,10,"r3"
"63",625,895,7,"r3"
"64",635,895,9,"r3"
"65",645,895,7,"r3"
"66",655,895,4,"r3"
"67",665,895,3,"r3"
"68",675,895,5,"r3"
"69",685,895,7,"r3"
"70",695,895,9,"r3"
"71",705,895,10,"r3"
"72",715,895,2,"r3"
"73",725,895,7,"r3"
"74",735,895,3,"r3"
"75",745,895,6,"r3"
"76",755,895,1,"r3"
"77",765,895,4,"r3"
"78",775,895,10,"r3"
"79",785,895,7,"r3"
"80",795,895,6,"r3"
"81",805,895,7,"r3"
"82",815,895,8,"r3"
"83",825,895,5,"r3"
"84",835,895,9,"r3"
"85",845,895,9,"r3"
"86",855,895,10,"r3"
"87",865,895,8,"r3"
"88",875,895,10,"r3"
"89",885,895,2,"r3"
"90",895,895,3,"r3"
"91",5,885,3,"r3"
"92",15,885,10,"r3"
"93",25,885,4,"r3"
"94",35,885,3,"r3"
"95",45,885,5,"r3"
"96",55,885,3,"r3"
"97",65,885,3,"r3"
"98",75,885,7,"r3"
"99",85,885,9,"r3"
"100",95,885,5,"r3"
"101",105,885,6,"r3"
"102",115,885,9,"r3"
"103",125,885,4,"r3"
"104",135,885,6,"r3"
"105",145,885,8,"r3"
"106",155,885,6,"r3"
"107",165,885,5,"r3"
